Hidden Layer Initial Bias,Hidden Layer Final Bias,Output Layer Initial Bias,Output Layer Final Bias
0.0000,0.0034,0.0000,-0.0499
0.0000,0.0004,0.0000,-0.1035
0.0000,-0.0011,0.0000,-0.1501
0.0000,-0.0006,0.0000,-0.0442
0.0000,0.0025,0.0000,-0.1453
0.0000,-0.0011,0.0000,-0.0824
0.0000,0.0033,0.0000,-0.0519
0.0000,0.0032,0.0000,-0.1413
0.0000,0.0018,0.0000,-0.0334
0.0000,0.0042,0.0000,-0.0665
0.0000,-0.0035,0.0000,-0.1265
0.0000,0.0055,0.0000,-0.1533
0.0000,-0.0037,0.0000,-0.1319
0.0000,0.0059,0.0000,-0.0938
0.0000,0.0019,0.0000,-0.1081
0.0000,0.0035,0.0000,-0.1365
0.0000,0.0003,0.0000,-0.1152
0.0000,0.0032,0.0000,-0.1272
0.0000,-0.0019,0.0000,-0.1399
0.0000,0.0018,0.0000,-0.1240
0.0000,0.0021,0.0000,-0.1525
0.0000,0.0019,0.0000,-0.1378
0.0000,-0.0015,0.0000,-0.1343
0.0000,0.0067,0.0000,-0.1711
0.0000,-0.0014,0.0000,-0.1399
0.0000,0.0011,0.0000,-0.1198
0.0000,0.0073,0.0000,-0.1509
0.0000,-0.0021,0.0000,-0.1675
0.0000,-0.0073,0.0000,-0.1167
0.0000,0.0072,0.0000,-0.1408
0.0000,0.0016,0.0000,-0.1299
0.0000,0.0047,0.0000,-0.1632
0.0000,0.0131,0.0000,-0.1538
0.0000,-0.0029,0.0000,-0.1444
0.0000,0.0014,0.0000,-0.1419
0.0000,0.0035,0.0000,-0.1305
0.0000,0.0057,0.0000,-0.1416
0.0000,0.0071,0.0000,-0.1288
0.0000,0.0048,0.0000,-0.1002
0.0000,0.0006,0.0000,-0.0882
0.0000,0.0122,0.0000,-0.1135
0.0000,0.0013,0.0000,-0.1204
0.0000,0.0006,0.0000,-0.1250
0.0000,-0.0033,0.0000,-0.1541
0.0000,0.0015,0.0000,-0.1985
0.0000,0.0049,0.0000,-0.1418
0.0000,0.0012,0.0000,-0.1611
0.0000,0.0054,0.0000,-0.1808
0.0000,0.0005,0.0000,-0.1483
0.0000,-0.0008,0.0000,-0.1260
0.0000,-0.0013,0.0000,-0.0856
0.0000,0.0016,0.0000,-0.1470
0.0000,0.0055,0.0000,-0.1558
0.0000,-0.0018,0.0000,-0.1592
0.0000,0.0029,0.0000,-0.1313
0.0000,-0.0009,0.0000,-0.1641
0.0000,0.0003,0.0000,-0.1605
0.0000,0.0056,0.0000,-0.1344
0.0000,0.0045,0.0000,-0.1668
0.0000,0.0063,0.0000,-0.1357
0.0000,0.0035,0.0000,-0.1261
0.0000,0.0071,0.0000,-0.1175
0.0000,-0.0069,0.0000,-0.1532
0.0000,0.0049,0.0000,-0.1136
